timestamp,ticker,group,expiry,days_to_expiry,time_to_expiry,spot,strike,moneyness,log_moneyness,contract_symbol,bid,ask,mid,spread,spread_percent,volume,open_interest,quoted_iv,role,implied_vol,calibration_note
2026-08-18,SPY,73d,2026-10-30,73,0.2,768.3699951171875,692.0,0.9006077858290914,-0.1046854259942608,SPY261030P00692000,4.63,4.66,4.645,0.03000000000000025,0.645855758880522,3.0,63.0,0.2099993551635742,calibration,0.218329352693299,
2026-08-18,SPY,73d,2026-10-30,73,0.2,768.3699951171875,702.0,0.9136223492081245,-0.09033797758611929,SPY261030P00702000,5.41,5.44,5.425000000000001,0.03000000000000025,0.5529953917050736,1.0,270.0,0.1996082237243652,calibration,0.20810026363059428,
2026-08-18,SPY,73d,2026-10-30,73,0.2,768.3699951171875,712.0,0.9266369125871576,-0.07619347019995458,SPY261030P00712000,6.32,6.35,6.335,0.02999999999999936,0.47355958958167893,1.0,276.0,0.1887898504638672,calibration,0.1975111387210967,
2026-08-18,SPY,73d,2026-10-30,73,0.2,768.3699951171875,722.0,0.9396514759661907,-0.06224624271910417,SPY261030P00722000,7.47,7.51,7.49,0.040000000000000036,0.5340453938584784,1.0,98.0,0.1784139776611328,calibration,0.1875121073056429,
2026-08-18,SPY,73d,2026-10-30,73,0.2,768.3699951171875,732.0,0.9526660393452239,-0.04849086765061878,SPY261030P00732000,8.9,8.93,8.915,0.02999999999999936,0.33651149747615666,11.0,370.0,0.1679160357666015,calibration,0.1775967147963973,
2026-08-18,SPY,73d,2026-10-30,73,0.2,768.3699951171875,742.0,0.9656806027242569,-0.034922138444549944,SPY261030P00742000,10.69,10.73,10.71,0.040000000000000924,0.3734827264239115,10.0,334.0,0.1576774906921386,calibration,0.16793842311023982,
2026-08-18,SPY,73d,2026-10-30,73,0.2,768.3699951171875,752.0,0.9786951661032901,-0.021535057662090504,SPY261030P00752000,12.93,12.97,12.95,0.040000000000000924,0.30888030888031603,3.0,268.0,0.1473016178894043,calibration,0.15832210268431096,
2026-08-18,SPY,73d,2026-10-30,73,0.2,768.3699951171875,762.0,0.9917097294823232,-0.008324825925284107,SPY261030P00762000,15.89,15.94,15.915,0.049999999999998934,0.31416902293433197,1.0,18.0,0.1379785910034179,calibration,0.15006358717313834,
2026-08-18,SPY,73d,2026-10-30,73,0.2,768.3699951171875,772.0,1.0047242928613562,0.00471316841284574,SPY261030P00772000,19.62,19.67,19.645000000000003,0.05000000000000071,0.25451768897938765,12.0,217.0,0.12871659866333,calibration,0.14231540843156582,
2026-08-18,SPY,73d,2026-10-30,73,0.2,768.3699951171875,782.0,1.0177388562403895,0.017583358933380817,SPY261030P00782000,24.32,24.5,24.41,0.17999999999999972,0.7374027038099128,2.0,307.0,0.1208431422424316,calibration,0.13593720299269052,
2026-08-18,SPY,73d,2026-10-30,73,0.2,768.3699951171875,793.0,1.0320548759573258,0.0315518400229176,SPY261030P00793000,30.81,31.05,30.93,0.240000000000002,0.7759456838021402,,85.0,0.1125729612731933,calibration,0.13049656807112336,
2026-08-18,SPY,73d,2026-10-30,73,0.2,768.3699951171875,805.0,1.0476723520121656,0.04657089580663301,SPY261030P00805000,39.58,39.9,39.739999999999995,0.3200000000000003,0.805234021137394,,0.0,0.1061185580444336,calibration,0.12807664355196902,
